"patch","area_m2","longitude","latitude"
89,389,658961.883350493,5212623.48836915
90,2229,658545.592802047,5212595.53618784
91,36,658860.038630462,5212622.84113548
92,1822,658905.866020342,5212584.37167127
93,3182,658631.214709266,5212575.5714194
95,612,657985.644523263,5212595.36116701
98,16,658693.998691688,5212606.23028047
99,26,658916.130345534,5212602.73033443
100,97,658965.951599588,5212596.31806216
106,30,658665.496604156,5212586.33058728
109,25,658956.477916031,5212583.81062613
111,4481,658027.020472833,5212562.83695262
114,24,658689.415022641,5212580.81400567
115,62,658753.890174998,5212580.19842376
116,9,658769.504221818,5212581.7306582
117,1832,658972.89521016,5212541.02713729
120,409,658950.226504624,5212564.82138345
123,32,658859.167038847,5212577.2619771
129,35,658688.069686011,5212573.87363648
130,108,658768.772686758,5212565.94386456
131,12,657826.935186753,5212573.73078154
132,37,658865.430166487,5212568.27140625
133,208,659077.166178484,5212561.96173222
135,9,658970.518944415,5212565.73090488
136,9,658758.503416104,5212563.73093572
137,1154,657814.792182997,5212549.50238559
138,2103,658104.814549961,5212495.65590349
139,31,658966.679953565,5212560.18260333
142,4627,658676.865061608,5212481.81302861
144,9,658581.490451428,5212558.7310128
147,53,658787.184762048,5212555.65558852
148,83,658931.431744265,5212552.18894499
149,256,657999.029822453,5212549.43037495
151,45,658891.913187221,5212547.93117931
153,9,657842.436322078,5212543.73124407
154,83,658520.522130603,5212541.899947
155,9,657800.433245714,5212542.73125948
156,16,658543.987704675,5212541.23128261
157,153,659126.353887395,5212535.94051451
161,9,658497.484298701,5212535.73136741
162,2089,658351.707705114,5212474.4522739
163,68,658535.178235928,5212526.83444575
164,21,658543.059065232,5212518.0173548
165,82,658540.69478057,5212509.87810747
166,40,658522.786151844,5212508.63178522
167,55,658946.062607745,5212505.71364839
168,12,657650.422258701,5212506.23182222
169,22,658369.111260118,5212505.41365302
171,321,659123.146945532,5212490.01244612
172,97,659146.480285677,5212504.99988245
173,44,659167.328813589,5212505.3909261
175,9,658833.50890961,5212497.73195327
176,3005,658867.562318871,5212426.70576048
177,12,658969.518871169,5212494.23200723
178,11044,659128.518835997,5212440.87353978
179,26,658114.879353107,5212483.84755195
180,30,658674.9973,5212483.23217682
181,19,658824.613521258,5212485.15319984
182,15,658967.518724675,5212483.73216912
183,180,658390.265334724,5212476.093398
186,138,658983.41119301,5212478.98586548
192,9,659269.540845195,5212481.73219995
193,15,658171.860449558,5212480.33222154
196,345,657654.929835219,5212463.63682677
198,21,659169.533520519,5212470.73236954
201,9,657667.423503896,5212469.73238496
202,34,659268.805497219,5212466.08538237
203,43,658597.654425998,5212459.01162002
204,227,658694.882016296,5212452.82956186
205,531,658728.823276187,5212442.19420313
208,117,659265.472171131,5212453.01469399
211,1948,659312.80428081,5212438.23903068
214,24,657674.674034935,5212454.357622
216,5049,658178.177885914,5212400.35001242
217,56,659274.77337129,5212446.80416703
218,131,657951.971062112,5212442.16029098
219,9,658205.462910649,5212444.7327704
220,12,658849.510081558,5212443.23279352
222,19,658196.883334901,5212441.62755512
223,665,658631.34823842,5212419.87751452
224,117,658686.275903838,5212435.29701844
229,9,659196.535498182,5212435.73290916
233,12,659359.047400779,5212431.73297083
234,139,659373.361398797,5212426.4093119
235,137,658911.069334769,5212428.11258869
238,19,658733.922668407,5212425.83832487
239,15,659278.541504416,5212426.73304791
240,575,659352.727807489,5212413.15412684
242,15,658913.914798649,5212421.33313117
244,322,658968.236168526,5212403.21788251
247,9,659167.533374026,5212413.73324834
248,24,659216.036926493,5212412.73326376
249,573,658060.249831761,5212394.99182699
250,105,658810.507224935,5212410.35234809
251,229,659138.649162436,5212401.07842161
252,345,659187.99284352,5212403.40587133
254,75,659156.825923131,5212405.28004534
259,2667,658342.139962687,5212389.88884657
261,105284,659198.895079835,5212114.45618626
264,271,658657.606727397,5212393.94019557
