"patch","area_m2","longitude","latitude"
554,34,657717.162440963,5212331.73451257
555,156,657851.699821062,5212325.29871436
556,51,658623.042514367,5212329.89140374
557,17654,657753.990736918,5212219.627767
558,465,658829.140847752,5212312.46814295
562,28,657829.935406493,5212326.23459737
565,74,659466.339042752,5212324.07246854
566,43,657708.682339704,5212320.01376305
567,26,658106.955695844,5212321.73466675
573,94,658067.974117375,5212313.38373167
575,40,659334.04556961,5212315.23476696
576,21,657693.425408312,5212314.73477467
580,32,657685.424822338,5212312.23481322
581,177,658928.470667001,5212307.42415292
583,67,657704.799375685,5212307.7348826
584,26,658103.45543948,5212309.23485947
586,21,657713.426873247,5212307.73488259
587,39,658946.28640036,5212306.19644477
590,115,657697.434397588,5212299.03066897
591,21,658003.448114805,5212305.73491343
592,69,657936.457701088,5212303.28567583
593,108,657994.086318023,5212298.89242633
596,58,659323.148219749,5212301.13153613
597,21,657729.428045195,5212301.7349751
599,30,658380.842422355,5212300.3683295
600,144,657880.828022828,5212293.29760518
601,49,658817.85470185,5212293.89836123
605,199,659357.210582831,5212290.06681329
608,21,659018.52246026,5212292.73511386
611,21,658913.514769351,5212289.73516011
612,66,657821.616615396,5212286.23521407
616,197,658103.079777449,5212280.72514674
617,21,658306.470308572,5212283.73525261
618,184,658817.828413323,5212272.7788998
624,223,658358.55035617,5212270.80271658
625,45,658112.96724725,5212275.66871031
626,44,658318.675747969,5212275.41719904
627,189,659455.866661269,5212271.99998381
633,21,658146.458589091,5212270.73545304
636,56,657795.43287948,5212263.23556867
637,82,658926.344977345,5212263.62580656
642,91,657753.319904958,5212259.60375653
650,57,659463.221697316,5212259.10405342
653,109,658989.107461828,5212254.49717129
658,1174,658254.712684722,5212242.68222287
670,21,657904.440863377,5212248.73579223
672,26,658660.996274545,5212247.73580764
676,21,659002.521288312,5212245.73583848
680,194,658187.136826153,5212235.95248416
688,100,658364.764578125,5212233.52602673
689,77,659094.995593726,5212234.06069381
690,44,658265.535492267,5212233.73602349
691,83,657814.434271169,5212231.5191902
692,21,658278.468257662,5212233.73602349
693,61,658764.700591305,5212229.47379412
696,208,658053.980662033,5212226.71690094
699,71,657829.900192647,5212227.46851448
700,79,657799.800287963,5212224.30578913
701,42,658167.960163896,5212226.92660466
703,138,659172.80187584,5212224.35935646
